Pais,Nombre,Superficie,Hogares,Poblacion 2010,Poblacion 2022,Latitud,Longitud,Ingresos,id_provincia
Argentina,Buenos Aires,307571,6749094.0,15625084.0,17523996.0,-34.9214,-57.9545,117278.0,1
Argentina,Capital Federal,203,1615300.0,2890151.0,3121707.0,-34.6037,-58.3816,210376.0,2
Argentina,Catamarca,102602,156412.0,367828.0,429562.0,-28.4696,-65.7852,89532.0,3
Argentina,Chaco,99633,411396.0,1055259.0,1129606.0,-27.4514,-58.9867,58294.0,4
Argentina,Chubut,224686,241242.0,509108.0,592621.0,-43.3007,-65.1023,141400.0,5
Argentina,Cordoba,165321,1616117.0,3308876.0,3840905.0,-31.4201,-64.1888,117816.0,6
Argentina,Corrientes,88199,408682.0,992595.0,1212696.0,-27.4692,-58.8306,98616.0,7
Argentina,Entre Rios,78781,558566.0,1235994.0,1425578.0,-31.7319,-60.5238,100521.0,8
Argentina,Formosa,72066,218678.0,530162.0,607419.0,-26.1849,-58.1731,74422.0,9
Argentina,Jujuy,53219,266427.0,673307.0,811611.0,-24.1858,-65.2995,83337.0,10
Argentina,La Pampa,143440,164515.0,318951.0,361859.0,-36.6206,-64.2901,149776.0,11
Argentina,La Rioja,89680,148178.0,333642.0,383865.0,-29.4135,-66.8565,68717.0,12
Argentina,Mendoza,148827,702009.0,1738929.0,2043540.0,-32.8895,-68.8458,95859.0,13
Argentina,Misiones,29801,464472.0,1101593.0,1278873.0,-27.3625,-55.9,98526.0,14
Argentina,Neuquen,94078,283923.0,551266.0,710814.0,-38.9516,-68.0591,149205.0,15
Argentina,Rio Negro,203013,308005.0,638645.0,750768.0,-40.8135,-62.9967,111098.0,16
Argentina,Salta,155488,458289.0,1214441.0,1441351.0,-24.7821,-65.4232,84395.0,17
Argentina,San Juan,89651,263539.0,681055.0,822853.0,-31.5375,-68.5364,95885.0,18
Argentina,San Luis,76748,204447.0,432310.0,542069.0,-33.295,-66.3356,95591.0,19
Argentina,Santa Cruz,243943,135010.0,273964.0,337226.0,-51.623,-69.2168,153433.0,20
Argentina,Santa Fe,133007,1452021.0,3194537.0,3544908.0,-31.6239,-60.686,122496.0,21
Argentina,Santiago Del Estero,136351,345637.0,874006.0,1060906.0,-27.7951,-64.2615,75476.0,22
Argentina,Tierra Del Fuego,21571,69833.0,127205.0,185732.0,-54.8019,-68.3029,200245.0,23
Argentina,Tucuman,22524,553157.0,1448188.0,1731820.0,-26.8083,-65.2176,87145.0,24
